,Distance,EntityID,ReferenceID,UCRGroup,Class,Latitude,Longitude,GeoHash,DateTime,AgencyID,Agency,EventRecord
EVE4148475498232354696:3236531896,4.24,EVE4148475498232354696:3236531896,AVCC-2015-00000337,16,16,32.340543589788716,-106.74239801021129,9tspgp2t,2015-01-05 20:30:00.000,NM0070100,Las Cruces Police Department (NM),"{'MOs': {'MO': {'UCRGroup': '16', 'Class': 'Motor Vehicle Theft', 'IRNumber': 'AVCC-2015-00000337', 'Crime': 'UNLAWFUL TAKING OF MOTOR VEHICLE', 'LocationType': 'Residence/Apartment', 'AddressOfCrime': '1151 N ROADRUNNER PKWY, 4XX NM', 'Accuracy': 'Address', 'TCoordinate': '0.0', 'XCoordinate': '-106.74239801021129', 'YCoordinate': '32.340543589788716', 'XOffset': '1', 'YOffset': '0', 'GeoCoded': '1', 'MoStamp': '0', 'DateTime': '2015-01-05 20:30:00.000', 'Agency': 'Las Cruces Police Department (NM)', 'Distance': '4.24', 'label': 'Motor Vehicle Theft'}}, 'CustomHtml': ''}"
EVE9583930282429466407:3236531582,26.71,EVE9583930282429466407:3236531582,AVCC-2015-00000123,10,10,32.03186342494595,-106.39205658388693,9tsq4zpx,2015-01-05 19:42:00.000,NM0070000,Dona Ana County Sheriff's Office (NM),"{'MOs': {'MO': {'UCRGroup': '10', 'Class': 'Burglary - Commercial', 'IRNumber': 'AVCC-2015-00000123', 'Crime': 'BURGLARY OF A DWELLING', 'LocationType': 'Residence/Apartment', 'AddressOfCrime': '5XX LUNA AZUL RD, CHAPARRAL, NM 88081', 'Accuracy': 'Address', 'TCoordinate': '0.0', 'XCoordinate': '-106.39205658388693', 'YCoordinate': '32.03186342494595', 'XOffset': '1', 'YOffset': '0', 'GeoCoded': '1', 'MoStamp': '0', 'DateTime': '2015-01-05 19:42:00.000', 'Agency': ""Dona Ana County Sheriff's Office (NM)"", 'Distance': '26.71', 'label': 'Burglary - Commercial'}}, 'CustomHtml': ''}"
EVE6144799402231912988:3236531940,2.23,EVE6144799402231912988:3236531940,AVCC-2015-00000351,17,17,32.31065818978872,-106.73486461021129,9tspg1yp,2015-01-05 19:30:00.000,NM0070100,Las Cruces Police Department (NM),"{'MOs': {'MO': {'UCRGroup': '17', 'Class': 'Burglary from Motor Vehicle', 'IRNumber': 'AVCC-2015-00000351', 'Crime': 'AUTO BURGLARY', 'LocationType': 'Residence/Apartment', 'AddressOfCrime': '26XX HILLRISE, NM', 'Accuracy': 'Address', 'TCoordinate': '0.0', 'XCoordinate': '-106.73486461021129', 'YCoordinate': '32.31065818978872', 'XOffset': '1', 'YOffset': '0', 'GeoCoded': '1', 'MoStamp': '0', 'DateTime': '2015-01-05 19:30:00.000', 'Agency': 'Las Cruces Police Department (NM)', 'Distance': '2.23', 'label': 'Burglary from Motor Vehicle'}}, 'CustomHtml': ''}"
EVE16790214030478791991:3236522200,4.60,EVE16790214030478791991:3236522200,AVCC-2015-00000116,13,13,32.30712862906237,-106.81454945271562,9tspc3k4,2015-01-05 14:34:00.000,NM0070000,Dona Ana County Sheriff's Office (NM),"{'MOs': {'MO': {'UCRGroup': '13', 'Class': 'Fraud / Forgery', 'IRNumber': 'AVCC-2015-00000116', 'Crime': 'FRAUD. TRANS. OF CREDIT CARD', 'LocationType': 'Governemnt Building or Property', 'AddressOfCrime': 'DASO MAIN STATION, 8XX N MOTEL BLVD, LAS CRUCES, NM 88007', 'Accuracy': 'Address', 'TCoordinate': '0.0', 'XCoordinate': '-106.81454945271562', 'YCoordinate': '32.30712862906237', 'XOffset': '1', 'YOffset': '0', 'GeoCoded': '1', 'MoStamp': '0', 'DateTime': '2015-01-05 14:34:00.000', 'Agency': ""Dona Ana County Sheriff's Office (NM)"", 'Distance': '4.60', 'label': 'Fraud / Forgery'}}, 'CustomHtml': ''}"
EVE11805107789634334641:3236522189,7.26,EVE11805107789634334641:3236522189,AVCC-2015-00000114,9,9,32.36451329533972,-106.81571004787929,9tu017g0,2015-01-05 14:09:00.000,NM0070000,Dona Ana County Sheriff's Office (NM),"{'MOs': {'MO': {'UCRGroup': '9', 'Class': 'Assault - Simple', 'IRNumber': 'AVCC-2015-00000114', 'Crime': 'BATTERY AGAINST HOUSEHOLD MEMBER', 'LocationType': 'Residence/Apartment', 'AddressOfCrime': '9XX LOPEZ RD, LAS CRUCES, NM 88007', 'Accuracy': 'Address', 'TCoordinate': '0.0', 'XCoordinate': '-106.81571004787929', 'YCoordinate': '32.36451329533972', 'XOffset': '1', 'YOffset': '0', 'GeoCoded': '1', 'MoStamp': '0', 'DateTime': '2015-01-05 14:09:00.000', 'Agency': ""Dona Ana County Sheriff's Office (NM)"", 'Distance': '7.26', 'label': 'Assault - Simple'}}, 'CustomHtml': ''}"
EVE12402314057762896544:3236522186,2.13,EVE12402314057762896544:3236522186,AVCC-2015-00000113,9,9,32.25277382160574,-106.72417803402865,9tsp7rmy,2015-01-05 13:52:00.000,NM0070000,Dona Ana County Sheriff's Office (NM),"{'MOs': {'MO': {'UCRGroup': '9', 'Class': 'Assault - Simple', 'IRNumber': 'AVCC-2015-00000113', 'Crime': 'BATTERY', 'LocationType': 'Residence/Apartment', 'AddressOfCrime': '59XX LAS ALTURAS DR, LAS CRUCES, NM 88001', 'Accuracy': 'Address', 'TCoordinate': '0.0', 'XCoordinate': '-106.72417803402865', 'YCoordinate': '32.25277382160574', 'XOffset': '1', 'YOffset': '0', 'GeoCoded': '1', 'MoStamp': '0', 'DateTime': '2015-01-05 13:52:00.000', 'Agency': ""Dona Ana County Sheriff's Office (NM)"", 'Distance': '2.13', 'label': 'Assault - Simple'}}, 'CustomHtml': ''}"
EVE6575905095017477957:3236522202,15.65,EVE6575905095017477957:3236522202,AVCC-2015-00000118,12,12,32.503781486482566,-106.70757740561363,9tu0gv1u,2015-01-05 13:44:00.000,NM0070000,Dona Ana County Sheriff's Office (NM),"{'MOs': {'MO': {'UCRGroup': '12', 'Class': 'Theft', 'IRNumber': 'AVCC-2015-00000118', 'Crime': 'ALL OTHER LARCENIES', 'LocationType': 'Residence/Apartment', 'AddressOfCrime': '123XX COUNTY ROAD, LAS CRUCES, NM 88012', 'Accuracy': 'Address', 'TCoordinate': '0.0', 'XCoordinate': '-106.70757740561363', 'YCoordinate': '32.503781486482566', 'XOffset': '1', 'YOffset': '0', 'GeoCoded': '1', 'MoStamp': '0', 'DateTime': '2015-01-05 13:44:00.000', 'Agency': ""Dona Ana County Sheriff's Office (NM)"", 'Distance': '15.65', 'label': 'Theft'}}, 'CustomHtml': ''}"
EVE16502332676995130900:3236522234,4.06,EVE16502332676995130900:3236522234,AVCC-2015-00000108,27,27,32.304445832979475,-106.80582953501188,9tspc8f7,2015-01-05 11:23:00.000,NM0070000,Dona Ana County Sheriff's Office (NM),"{'MOs': {'MO': {'UCRGroup': '27', 'Class': 'All Other - Criminal', 'IRNumber': 'AVCC-2015-00000108', 'Crime': 'FUGITIVE FROM JUSTICE', 'LocationType': 'Jail/Prison', 'AddressOfCrime': '18XX COPPER LOOP (N SEVENTEENTH ST BRASS WAY, LAS CRUCES, NM 88005', 'Accuracy': 'Address', 'TCoordinate': '0.0', 'XCoordinate': '-106.80582953501188', 'YCoordinate': '32.304445832979475', 'XOffset': '1', 'YOffset': '0', 'GeoCoded': '1', 'MoStamp': '0', 'DateTime': '2015-01-05 11:23:00.000', 'Agency': ""Dona Ana County Sheriff's Office (NM)"", 'Distance': '4.06', 'label': 'All Other - Criminal'}}, 'CustomHtml': ''}"
EVE6209425251947746263:3236532351,2.80,EVE6209425251947746263:3236532351,AVCC-2015-00000246,17,17,32.31579978978872,-106.72267351021128,9tspg6yv,2015-01-05 09:42:00.000,NM0070100,Las Cruces Police Department (NM),"{'MOs': {'MO': {'UCRGroup': '17', 'Class': 'Burglary from Motor Vehicle', 'IRNumber': 'AVCC-2015-00000246', 'Crime': 'AUTO BURGLARY', 'AddressOfCrime': '32XX MISSOURI AVE, NM', 'Accuracy': 'Address', 'TCoordinate': '0.0', 'XCoordinate': '-106.72267351021128', 'YCoordinate': '32.31579978978872', 'XOffset': '1', 'YOffset': '0', 'GeoCoded': '1', 'MoStamp': '0', 'DateTime': '2015-01-05 09:42:00.000', 'Agency': 'Las Cruces Police Department (NM)', 'Distance': '2.80', 'label': 'Burglary from Motor Vehicle'}}, 'CustomHtml': ''}"
EVE1821668215743518316:3236532347,2.27,EVE1821668215743518316:3236532347,AVCC-2015-00000243,17,17,32.310669589788716,-106.73178161021129,9tspg3br,2015-01-05 06:59:00.000,NM0070100,Las Cruces Police Department (NM),"{'MOs': {'MO': {'UCRGroup': '17', 'Class': 'Burglary from Motor Vehicle', 'IRNumber': 'AVCC-2015-00000243', 'Crime': 'AUTO BURGLARY', 'LocationType': 'Residence/Apartment', 'AddressOfCrime': '27XX CRESTVIEW DR, NM', 'Accuracy': 'Address', 'TCoordinate': '0.0', 'XCoordinate': '-106.73178161021129', 'YCoordinate': '32.310669589788716', 'XOffset': '1', 'YOffset': '0', 'GeoCoded': '1', 'MoStamp': '0', 'DateTime': '2015-01-05 06:59:00.000', 'Agency': 'Las Cruces Police Department (NM)', 'Distance': '2.27', 'label': 'Burglary from Motor Vehicle'}}, 'CustomHtml': ''}"
EVE8757641463680619123:3236532279,2.13,EVE8757641463680619123:3236532279,AVCC-2015-00000299,17,17,32.309013789788715,-106.73366661021129,9tspg1wv,2015-01-05 03:30:00.000,NM0070100,Las Cruces Police Department (NM),"{'MOs': {'MO': {'UCRGroup': '17', 'Class': 'Burglary from Motor Vehicle', 'IRNumber': 'AVCC-2015-00000299', 'Crime': 'AUTO BURGLARY', 'AddressOfCrime': '26XX CRESTVIEW DR, NM', 'Accuracy': 'Address', 'TCoordinate': '0.0', 'XCoordinate': '-106.73366661021129', 'YCoordinate': '32.309013789788715', 'XOffset': '1', 'YOffset': '0', 'GeoCoded': '1', 'MoStamp': '0', 'DateTime': '2015-01-05 03:30:00.000', 'Agency': 'Las Cruces Police Department (NM)', 'Distance': '2.13', 'label': 'Burglary from Motor Vehicle'}}, 'CustomHtml': ''}"
EVE15275396029205303246:3236532472,3.93,EVE15275396029205303246:3236532472,AVCC-2015-00000234,16,16,32.33552808978872,-106.73341321021128,9tspgnx0,2015-01-04 17:00:00.000,NM0070100,Las Cruces Police Department (NM),"{'MOs': {'MO': {'UCRGroup': '16', 'Class': 'Motor Vehicle Theft', 'IRNumber': 'AVCC-2015-00000234', 'Crime': 'UNLAWFUL TAKING OF MOTOR VEHICLE', 'AddressOfCrime': '4XX N ROADRUNNER PKWY #416, NM', 'Accuracy': 'Address', 'TCoordinate': '0.0', 'XCoordinate': '-106.73341321021128', 'YCoordinate': '32.33552808978872', 'XOffset': '1', 'YOffset': '0', 'GeoCoded': '1', 'MoStamp': '0', 'DateTime': '2015-01-04 17:00:00.000', 'Agency': 'Las Cruces Police Department (NM)', 'Distance': '3.93', 'label': 'Motor Vehicle Theft'}}, 'CustomHtml': ''}"
EVE13533635511226217627:3236532470,4.37,EVE13533635511226217627:3236532470,AVCC-2015-00000233,10,10,32.325032089788714,-106.79465251021128,9tspcudd,2015-01-04 15:00:00.000,NM0070100,Las Cruces Police Department (NM),"{'MOs': {'MO': {'UCRGroup': '10', 'Class': 'Burglary - Commercial', 'IRNumber': 'AVCC-2015-00000233', 'Crime': 'BURGLARY OF A DWELLING', 'LocationType': 'Residence/Apartment', 'AddressOfCrime': '15XX MEDINA DR, NM', 'Accuracy': 'Address', 'TCoordinate': '0.0', 'XCoordinate': '-106.79465251021128', 'YCoordinate': '32.325032089788714', 'XOffset': '1', 'YOffset': '0', 'GeoCoded': '1', 'MoStamp': '0', 'DateTime': '2015-01-04 15:00:00.000', 'Agency': 'Las Cruces Police Department (NM)', 'Distance': '4.37', 'label': 'Burglary - Commercial'}}, 'CustomHtml': ''}"
EVE3243173200185244536:3236532089,1.46,EVE3243173200185244536:3236532089,AVCC-2015-00000302,10,10,32.29919218978872,-106.75093981021128,9tspdzfk,2015-01-04 15:00:00.000,NM0070100,Las Cruces Police Department (NM),"{'MOs': {'MO': {'UCRGroup': '10', 'Class': 'Burglary - Commercial', 'IRNumber': 'AVCC-2015-00000302', 'Crime': 'BURGLARY OF A DWELLING', 'LocationType': 'Residence/Apartment', 'AddressOfCrime': '11XX GARDNER AVE, NM', 'Accuracy': 'Address', 'TCoordinate': '0.0', 'XCoordinate': '-106.75093981021128', 'YCoordinate': '32.29919218978872', 'XOffset': '1', 'YOffset': '0', 'GeoCoded': '1', 'MoStamp': '0', 'DateTime': '2015-01-04 15:00:00.000', 'Agency': 'Las Cruces Police Department (NM)', 'Distance': '1.46', 'label': 'Burglary - Commercial'}}, 'CustomHtml': ''}"
EVE10348993757158727029:3236532456,3.35,EVE10348993757158727029:3236532456,AVCC-2015-00000208,16,16,32.326812489788715,-106.75337491021128,9tspfubt,2015-01-04 13:21:00.000,NM0070100,Las Cruces Police Department (NM),"{'MOs': {'MO': {'UCRGroup': '16', 'Class': 'Motor Vehicle Theft', 'IRNumber': 'AVCC-2015-00000208', 'Crime': 'UNLAWFUL TAKING OF MOTOR VEHICLE', 'LocationType': 'Park/Playground', 'AddressOfCrime': 'PAZ PARK, NM', 'Accuracy': 'Address', 'TCoordinate': '0.0', 'XCoordinate': '-106.75337491021128', 'YCoordinate': '32.326812489788715', 'XOffset': '1', 'YOffset': '0', 'GeoCoded': '1', 'MoStamp': '0', 'DateTime': '2015-01-04 13:21:00.000', 'Agency': 'Las Cruces Police Department (NM)', 'Distance': '3.35', 'label': 'Motor Vehicle Theft'}}, 'CustomHtml': ''}"
